"","Isogroup","Gene","LFC","Padj"
"24","isogroupOFAVBQ_DN106356_c0_g1",NA,-0.0861963167281993,NA
"25","isogroupOFAVBQ_DN106402_c0_g1","Orexin receptor type 2 OS=Homo sapiens OX=9606 GN=HCRTR2 PE=1 SV=2 E(blastx)=1e-10",0.0672644278536285,0.91951431862705
"26","isogroupOFAVBQ_DN106602_c0_g2",NA,-0.210297841245617,NA
"27","isogroupOFAVBQ_DN106638_c0_g1",NA,0.109172557371538,NA
"28","isogroupOFAVBQ_DN106651_c0_g1",NA,0.114507557385111,0.912614265248822
"29","isogroupOFAVBQ_DN106692_c0_g2","Muscarinic acetylcholine receptor gar-3 OS=Caenorhabditis elegans OX=6239 GN=gar-3 PE=1 SV=2 E(blastx)=1e-09",0.12676198912686,0.871292936677016
"30","isogroupOFAVBQ_DN106716_c0_g1",NA,0.281206999633387,0.830105757460264
"31","isogroupOFAVBQ_DN107142_c0_g3",NA,-0.191011930362301,NA
"32","isogroupOFAVBQ_DN107190_c0_g1",NA,-0.188969702132355,NA
"33","isogroupOFAVBQ_DN107199_c0_g1",NA,0.592479019283171,NA
"34","isogroupOFAVBQ_DN107698_c0_g1","40S ribosomal protein S12 OS=Drosophila melanogaster OX=7227 GN=RpS12 PE=1 SV=2 E(blastx)=6e-27",-0.905383581812488,NA
"35","isogroupOFAVBQ_DN108054_c0_g1","Matrilin-2 OS=Mus musculus OX=10090 GN=Matn2 PE=2 SV=2 E(blastx)=1e-18",-0.0157679117593371,0.976931939322664
"36","isogroupOFAVBQ_DN108629_c0_g1","40S ribosomal protein S14 OS=Mus musculus OX=10090 GN=Rps14 PE=1 SV=3 E(blastx)=6e-49",0.228975870592572,0.614475168661631
"37","isogroupOFAVBQ_DN10888_c0_g1","Profilin OS=Clypeaster japonicus OX=7644 PE=1 SV=2 E(blastx)=9e-31",-0.453963896296879,NA
"38","isogroupOFAVBQ_DN109002_c0_g2",NA,-0.0176209793140639,0.991715219401245
"39","isogroupOFAVBQ_DN109186_c0_g1",NA,-0.0226044232033513,NA
"40","isogroupOFAVBQ_DN109356_c1_g1",NA,0.254838420764867,NA
"41","isogroupOFAVBQ_DN109883_c1_g1",NA,0.929707480021476,NA
"42","isogroupOFAVBQ_DN109968_c0_g1",NA,-0.528535604563051,NA
"43","isogroupOFAVBQ_DN110057_c0_g1",NA,0.105403718389884,0.926999892909766
"44","isogroupOFAVBQ_DN110163_c0_g1",NA,-0.164012897950973,NA
"45","isogroupOFAVBQ_DN110378_c0_g1","Alpha-1A adrenergic receptor OS=Oryzias latipes OX=8090 GN=adra1a PE=3 SV=1 E(blastx)=1e-13",1.0635033973332,0.235572310075633
"46","isogroupOFAVBQ_DN111139_c0_g1","60S ribosomal protein L27a OS=Rattus norvegicus OX=10116 GN=Rpl27a PE=1 SV=3 E(blastx)=3e-44",-1.72856579476206,NA
"47","isogroupOFAVBQ_DN11117_c0_g1",NA,0.581603883791779,0.412590883881789
"48","isogroupOFAVBQ_DN111975_c0_g1",NA,0.00580284756939298,NA
"49","isogroupOFAVBQ_DN112017_c0_g1",NA,0.0555514989814832,0.956017370442554
"50","isogroupOFAVBQ_DN112456_c0_g1",NA,-0.174252352764252,NA
"51","isogroupOFAVBQ_DN112873_c0_g1",NA,0.200788032163155,0.782660975329036
"52","isogroupOFAVBQ_DN112999_c0_g2","40S ribosomal protein SA OS=Suberites domuncula OX=55567 PE=2 SV=1 E(blastx)=1e-32",-0.85351282917474,NA
"53","isogroupOFAVBQ_DN113413_c0_g1","Calmodulin OS=Saccharina japonica OX=88149 GN=cam PE=2 SV=1 E(blastx)=4e-53",1.40084017815585,0.0276853654368598
"54","isogroupOFAVBQ_DN113833_c0_g1",NA,0.372863431805261,NA
"55","isogroupOFAVBQ_DN113844_c0_g1",NA,0.208150625617451,0.761731894011487
"56","isogroupOFAVBQ_DN114012_c0_g1",NA,0.287399289134828,NA
"57","isogroupOFAVBQ_DN11435_c0_g1",NA,0.207956176219794,NA
"58","isogroupOFAVBQ_DN114808_c0_g1","Ficolin-1-A OS=Xenopus laevis OX=8355 GN=fcn1-a PE=1 SV=2 E(blastx)=4e-20",-0.216405112491168,0.812639102290381
"59","isogroupOFAVBQ_DN114839_c0_g1","60S ribosomal protein L29 OS=Macaca fascicularis OX=9541 GN=RPL29 PE=2 SV=3 E(blastx)=2e-25",-0.538219402385867,0.36693405035709
"60","isogroupOFAVBQ_DN115336_c0_g1",NA,-0.63494355271964,0.022018632927775
"61","isogroupOFAVBQ_DN115336_c0_g2",NA,-0.120026285314511,0.815083402482431
"62","isogroupOFAVBQ_DN115336_c1_g1",NA,-0.799245239646743,0.325368892373373
"63","isogroupOFAVBQ_DN115520_c0_g1",NA,0.423805861100716,0.742891716201626
"64","isogroupOFAVBQ_DN115582_c0_g1",NA,-0.590989140856738,NA
"65","isogroupOFAVBQ_DN115957_c0_g1","Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=2 SV=1 E(blastx)=3e-12",-0.500295599537966,0.564017878783183
"66","isogroupOFAVBQ_DN116054_c0_g1",NA,-0.323947516843824,NA
"67","isogroupOFAVBQ_DN116300_c0_g1",NA,0.332441912069488,NA
"68","isogroupOFAVBQ_DN116580_c0_g3","Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens OX=9606 GN=GLIPR2 PE=1 SV=3 E(blastx)=1e-26",0.262666068637486,0.656559308386233
"69","isogroupOFAVBQ_DN116815_c0_g2","Calreticulin OS=Drosophila melanogaster OX=7227 GN=Calr PE=1 SV=2 E(blastx)=4e-112",-1.09739138994359,NA
"70","isogroupOFAVBQ_DN116853_c0_g1",NA,0.0365777067350057,0.971690441506376
"71","isogroupOFAVBQ_DN116853_c0_g3",NA,0.158248119030113,0.856599838916583
"72","isogroupOFAVBQ_DN117062_c0_g1",NA,-0.119556326889464,NA
"73","isogroupOFAVBQ_DN117252_c0_g1",NA,-0.658343494381985,NA
"74","isogroupOFAVBQ_DN117354_c0_g1",NA,0.362725138371192,0.463515105532506
"75","isogroupOFAVBQ_DN118079_c0_g1","60S ribosomal protein L15 OS=Ctenopharyngodon idella OX=7959 GN=rpl15 PE=2 SV=3 E(blastx)=5e-69",-0.0116601038157649,0.991679896617558
"76","isogroupOFAVBQ_DN118196_c0_g1",NA,-0.526207985284944,0.674227682126896
"77","isogroupOFAVBQ_DN118544_c0_g1","Dynein heavy chain 6, axonemal OS=Homo sapiens OX=9606 GN=DNAH6 PE=2 SV=3 E(blastx)=1e-15",0.40407944884116,0.681372104696214
"78","isogroupOFAVBQ_DN118841_c0_g1",NA,-0.241780608422533,NA
"79","isogroupOFAVBQ_DN119234_c0_g1",NA,0.112919799107806,NA
"80","isogroupOFAVBQ_DN119500_c0_g1",NA,-0.542869236500412,0.635412732653785
"81","isogroupOFAVBQ_DN119602_c0_g2",NA,-0.819867362195848,NA
"82","isogroupOFAVBQ_DN119759_c0_g1","Mitochondrial dicarboxylate carrier OS=Mus musculus OX=10090 GN=Slc25a10 PE=1 SV=2 E(blastx)=3e-06",-1.30767736114283,NA
"83","isogroupOFAVBQ_DN119890_c0_g1",NA,-0.00229648072093038,NA
"84","isogroupOFAVBQ_DN119906_c0_g1",NA,-0.662923659941219,0.397681667215492
"85","isogroupOFAVBQ_DN119906_c1_g1",NA,0.495778792838162,0.234585070685408
"86","isogroupOFAVBQ_DN120118_c0_g1",NA,-0.590272510632436,NA
"87","isogroupOFAVBQ_DN120383_c0_g1","Coadhesin (Fragment) OS=Acropora millepora OX=45264 PE=1 SV=1 E(blastx)=3e-31",-0.509304434571311,NA
"88","isogroupOFAVBQ_DN120441_c0_g2",NA,-0.144145404856679,0.809483844700375
"89","isogroupOFAVBQ_DN120441_c0_g3",NA,0.317945646272243,0.666029211858914
"90","isogroupOFAVBQ_DN120514_c0_g1",NA,0.284849912187352,0.750736394888013
"91","isogroupOFAVBQ_DN120606_c0_g2",NA,-0.269564900889444,0.793453744556895
"92","isogroupOFAVBQ_DN120839_c0_g1",NA,0.30462916915348,0.715728438044004
"93","isogroupOFAVBQ_DN121340_c0_g1",NA,0.464945792953211,NA
"94","isogroupOFAVBQ_DN121467_c0_g1",NA,-0.0610643721959495,0.91806763729498
"95","isogroupOFAVBQ_DN121467_c0_g2",NA,-0.182329620271092,0.748536784894899
"96","isogroupOFAVBQ_DN121500_c0_g2",NA,-0.14972777093031,0.765654735041661
"97","isogroupOFAVBQ_DN121517_c0_g2","G-protein coupled receptor 54 OS=Oreochromis niloticus OX=8128 GN=gpr54 PE=2 SV=1 E(blastx)=4e-15",-0.218893723042021,0.852088934596336
"98","isogroupOFAVBQ_DN121660_c0_g1","Endonuclease domain-containing 1 protein OS=Homo sapiens OX=9606 GN=ENDOD1 PE=1 SV=2 E(blastx)=3e-07",-0.437257341949105,NA
"99","isogroupOFAVBQ_DN121724_c0_g3","Endothelin-converting enzyme 2 OS=Mus musculus OX=10090 GN=Ece2 PE=1 SV=1 E(blastx)=4e-10",0.508953941963026,NA
"100","isogroupOFAVBQ_DN12184_c0_g1",NA,-0.225477584176643,NA
"101","isogroupOFAVBQ_DN122605_c0_g1","Carbohydrate sulfotransferase 11 OS=Mus musculus OX=10090 GN=Chst11 PE=2 SV=1 E(blastx)=2e-49",0.507982657534829,NA
"102","isogroupOFAVBQ_DN123151_c0_g1",NA,-0.684372013064294,NA
"103","isogroupOFAVBQ_DN123284_c0_g1",NA,0.33447188659231,0.62737394534997
"104","isogroupOFAVBQ_DN123546_c0_g1","Cytoglobin-2 OS=Oryzias latipes OX=8090 GN=cygb2 PE=2 SV=2 E(blastx)=1e-09",-0.0708870634869982,0.959427082203047
"105","isogroupOFAVBQ_DN123824_c0_g1",NA,-0.92415344690955,0.185123661178818
"106","isogroupOFAVBQ_DN124185_c1_g1",NA,-0.618975448648288,0.340009845804529
"107","isogroupOFAVBQ_DN124225_c0_g1","MOB kinase activator 3A OS=Pongo abelii OX=9601 GN=MOB3A PE=2 SV=1 E(blastx)=8e-05",0.609988607784308,NA
"108","isogroupOFAVBQ_DN124351_c0_g1","Neuropeptide FF receptor 2 OS=Rattus norvegicus OX=10116 GN=Npffr2 PE=2 SV=1 E(blastx)=1e-06",0.220932214829814,NA
"109","isogroupOFAVBQ_DN124459_c0_g2",NA,0.115072471011666,0.81264131264105
"110","isogroupOFAVBQ_DN124471_c0_g1",NA,1.43047381208945,NA
"111","isogroupOFAVBQ_DN124665_c0_g1",NA,0.521945808845553,NA
"112","isogroupOFAVBQ_DN124761_c0_g4",NA,0.136545078772345,NA
"113","isogroupOFAVBQ_DN124830_c0_g1","Peptidyl-prolyl cis-trans isomerase OS=Hemicentrotus pulcherrimus OX=7650 PE=2 SV=1 E(blastx)=1e-36",-0.332390863564668,0.393100003674188
"114","isogroupOFAVBQ_DN125491_c0_g1",NA,-0.569792375522269,NA
"115","isogroupOFAVBQ_DN125650_c0_g1",NA,0.701660028694494,NA
"116","isogroupOFAVBQ_DN125970_c0_g3","60S ribosomal protein L21 OS=Capra hircus OX=9925 GN=RPL21 PE=2 SV=1 E(blastx)=2e-43",0.443920761058696,0.462203431384121
"117","isogroupOFAVBQ_DN126245_c0_g1",NA,-0.574065248295837,NA
"118","isogroupOFAVBQ_DN126731_c0_g3","Serine/threonine-protein phosphatase PP1 isozyme 4 OS=Arabidopsis thaliana OX=3702 GN=TOPP4 PE=1 SV=1 E(blastx)=3e-52",-0.0476169092151276,0.972352084196663
"119","isogroupOFAVBQ_DN126919_c0_g1",NA,-0.0342680177961071,NA
"120","isogroupOFAVBQ_DN127420_c0_g1",NA,-0.4510815324481,NA
"121","isogroupOFAVBQ_DN127455_c0_g1",NA,-0.475455373063544,0.493903611709523
"122","isogroupOFAVBQ_DN127598_c0_g2",NA,0.181703813735139,NA
"123","isogroupOFAVBQ_DN127884_c0_g1",NA,-1.91610074541349,NA
"124","isogroupOFAVBQ_DN128371_c0_g1",NA,0.030987177776082,NA
"125","isogroupOFAVBQ_DN128764_c0_g1","Non-specific lipid-transfer protein OS=Homo sapiens OX=9606 GN=SCP2 PE=1 SV=2 E(blastx)=6e-14",-3.15433243781445,NA
"126","isogroupOFAVBQ_DN128795_c0_g1","Eukaryotic translation initiation factor 3 subunit B OS=Bombyx mori OX=7091 GN=eIF3-S9 PE=2 SV=1 E(blastx)=2e-08",4.83638781394889,4.91146377156857e-12
"127","isogroupOFAVBQ_DN128830_c0_g1",NA,-0.347668521609432,NA
"128","isogroupOFAVBQ_DN12884_c0_g1",NA,-0.210712866340746,NA
"129","isogroupOFAVBQ_DN129284_c0_g1",NA,1.00477968279761,NA
"130","isogroupOFAVBQ_DN129341_c0_g1",NA,0.499916706140043,NA
"131","isogroupOFAVBQ_DN129675_c0_g1",NA,0.627204320728709,NA
"132","isogroupOFAVBQ_DN129832_c0_g1","60S ribosomal protein L17 OS=Diaphorina citri OX=121845 GN=RpL17 PE=2 SV=1 E(blastx)=1e-92",-0.573428708921495,0.17316801293902
"133","isogroupOFAVBQ_DN129949_c0_g1",NA,-0.300953652835392,NA
"134","isogroupOFAVBQ_DN12994_c0_g1",NA,0.0324089654438137,NA
"135","isogroupOFAVBQ_DN130440_c0_g1",NA,-0.134976679613683,NA
"136","isogroupOFAVBQ_DN130565_c0_g1","Phosphatidylethanolamine-binding protein 4 OS=Mus musculus OX=10090 GN=Pebp4 PE=1 SV=1 E(blastx)=2e-16",-0.166555994644943,NA
"137","isogroupOFAVBQ_DN130583_c0_g2",NA,-0.186635236897911,NA
"138","isogroupOFAVBQ_DN130653_c0_g2",NA,0.519037640690737,0.333687668360769
"139","isogroupOFAVBQ_DN130972_c0_g1",NA,-0.0231616423653182,0.987877774862027
"140","isogroupOFAVBQ_DN131869_c0_g1",NA,0.291295440246272,0.496180013455081
"141","isogroupOFAVBQ_DN132034_c0_g1","Caltractin OS=Scherffelia dubia OX=3190 PE=1 SV=1 E(blastx)=2e-59",1.75769909386043,NA
"142","isogroupOFAVBQ_DN132827_c0_g1","40S ribosomal protein S12 OS=Sus scrofa OX=9823 GN=RPS12 PE=1 SV=2 E(blastx)=9e-70",1.61439700175332,NA
"143","isogroupOFAVBQ_DN132846_c0_g1","Substance-K receptor OS=Mus musculus OX=10090 GN=Tacr2 PE=2 SV=1 E(blastx)=6e-19",-0.142473417219338,0.878652450790774
"144","isogroupOFAVBQ_DN133119_c0_g1",NA,-0.155082239602587,NA
"145","isogroupOFAVBQ_DN133396_c0_g1",NA,0.158776230728406,NA
"146","isogroupOFAVBQ_DN133426_c0_g1",NA,0.12094244429897,NA
"147","isogroupOFAVBQ_DN133757_c1_g1",NA,-0.384079472208672,NA
"148","isogroupOFAVBQ_DN133950_c0_g1",NA,0.163862328334306,NA
"149","isogroupOFAVBQ_DN134093_c0_g1",NA,0.200600020721741,NA
"150","isogroupOFAVBQ_DN134544_c0_g1",NA,0.883817398778719,NA
"151","isogroupOFAVBQ_DN134593_c0_g1","Y-box factor homolog OS=Aplysia californica OX=6500 PE=2 SV=1 E(blastx)=2e-32",-1.41931335083714,NA
"152","isogroupOFAVBQ_DN134776_c0_g3","Cytosolic phospholipase A2 OS=Mus musculus OX=10090 GN=Pla2g4a PE=1 SV=1 E(blastx)=2e-34",-0.0371260553773585,NA
"153","isogroupOFAVBQ_DN134841_c0_g1",NA,0.17237598881088,0.790242266748199
"154","isogroupOFAVBQ_DN134853_c0_g2",NA,-0.361005869973083,NA
"155","isogroupOFAVBQ_DN134963_c0_g1",NA,-0.312653461300613,0.713794018493887
"156","isogroupOFAVBQ_DN13518_c0_g1",NA,-0.644135969990038,NA
"157","isogroupOFAVBQ_DN135228_c0_g1",NA,-0.0675016132326679,NA
"158","isogroupOFAVBQ_DN13527_c0_g1",NA,-0.571390416582486,NA
"159","isogroupOFAVBQ_DN135766_c0_g1",NA,0.124622041360658,0.91786244582366
"160","isogroupOFAVBQ_DN135933_c0_g2",NA,0.489295512230974,NA
"161","isogroupOFAVBQ_DN136087_c0_g2",NA,-0.174780894326921,NA
"162","isogroupOFAVBQ_DN13622_c0_g1","ADP-ribosylation factor 3 OS=Takifugu rubripes OX=31033 GN=arf3 PE=3 SV=2 E(blastx)=3e-76",-0.024439163091911,NA
"163","isogroupOFAVBQ_DN136406_c0_g1","Prostasin OS=Mus musculus OX=10090 GN=Prss8 PE=2 SV=2 E(blastx)=5e-42",0.00932946045762702,0.994342413578529
"164","isogroupOFAVBQ_DN136503_c0_g1","Somatostatin receptor type 4 OS=Rattus norvegicus OX=10116 GN=Sstr4 PE=1 SV=1 E(blastx)=1e-29",-0.393577182806146,0.601167320276571
"165","isogroupOFAVBQ_DN136908_c0_g1","Calmodulin OS=Euglena gracilis OX=3039 PE=1 SV=2 E(blastx)=1e-48",0.351757682839107,0.467814996565052
"166","isogroupOFAVBQ_DN136988_c0_g1",NA,0.0408105551146018,NA
"167","isogroupOFAVBQ_DN137008_c0_g1","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster OX=7227 GN=RTase PE=2 SV=1 E(blastx)=3e-07",1.53554738838891,NA
"168","isogroupOFAVBQ_DN137361_c0_g1",NA,-0.689168273678133,0.456347816197801
"169","isogroupOFAVBQ_DN137421_c0_g1",NA,0.0667592742960618,0.895808890346395
"170","isogroupOFAVBQ_DN13743_c0_g1",NA,-0.103195604480809,NA
"171","isogroupOFAVBQ_DN137575_c0_g2","Histone H2A.V (Fragment) OS=Strongylocentrotus purpuratus OX=7668 GN=H2A.F/Z PE=1 SV=1 E(blastx)=2e-62",-0.39190809604081,0.441635418214055
"172","isogroupOFAVBQ_DN137595_c0_g1","60S ribosomal protein L18 OS=Plutella xylostella OX=51655 GN=RpL18 PE=2 SV=1 E(blastx)=4e-78",1.24248805880388,NA
"173","isogroupOFAVBQ_DN137614_c0_g1","Polycystin-2 OS=Caenorhabditis elegans OX=6239 GN=pkd-2 PE=1 SV=3 E(blastx)=1e-05",-0.251766670535441,NA
"174","isogroupOFAVBQ_DN137614_c0_g2",NA,-0.256884118443204,0.81264131264105
"175","isogroupOFAVBQ_DN13788_c0_g1","60S ribosomal protein L10 OS=Macaca fascicularis OX=9541 GN=RPL10 PE=2 SV=1 E(blastx)=3e-75",0.200206167408046,0.560192631563123
"176","isogroupOFAVBQ_DN137932_c0_g1","40S ribosomal protein S14 OS=Podocoryna carnea OX=6096 GN=RPS14 PE=2 SV=1 E(blastx)=4e-38",-0.48223447608084,0.680519182774519
"177","isogroupOFAVBQ_DN138007_c0_g1","Stress-70 protein, mitochondrial OS=Gallus gallus OX=9031 GN=HSPA9 PE=1 SV=1 E(blastx)=4e-80",0.144220248891616,NA
"178","isogroupOFAVBQ_DN138175_c0_g1",NA,-0.0189788750431973,0.990114581012315
"179","isogroupOFAVBQ_DN138229_c0_g1",NA,0.480947205896466,NA
"180","isogroupOFAVBQ_DN138290_c0_g1",NA,0.326919060997584,0.739700533804815
"181","isogroupOFAVBQ_DN139054_c0_g1",NA,-0.708824207229111,NA
"182","isogroupOFAVBQ_DN139120_c0_g1",NA,0.337559507037551,0.660399443239965
"183","isogroupOFAVBQ_DN139120_c1_g1",NA,-0.0917912858631911,0.944595109331616
"184","isogroupOFAVBQ_DN139377_c0_g1",NA,-0.194997975769159,0.775584723341936
"185","isogroupOFAVBQ_DN139486_c0_g1","40S ribosomal protein S6 OS=Gallus gallus OX=9031 GN=RPS6 PE=2 SV=1 E(blastx)=6e-107",-1.733249059454,NA
"186","isogroupOFAVBQ_DN139679_c0_g1","40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4 E(blastx)=5e-60",0.199005568354135,NA
"187","isogroupOFAVBQ_DN139808_c0_g1",NA,-0.0274828213781184,0.980197483586293
"188","isogroupOFAVBQ_DN140434_c0_g1",NA,-0.0182074785482539,0.974381424444187
"189","isogroupOFAVBQ_DN140676_c0_g1",NA,0.361632748838434,0.664767136904328
"190","isogroupOFAVBQ_DN140833_c0_g1",NA,0.517024067792553,0.462602490239496
"191","isogroupOFAVBQ_DN140871_c0_g1",NA,0.153305546996131,0.836922185613174
"192","isogroupOFAVBQ_DN140928_c1_g1","Calmodulin OS=Macrocystis pyrifera OX=35122 PE=2 SV=3 E(blastx)=2e-49",1.63748624088235,0.00473125894097634
"193","isogroupOFAVBQ_DN141057_c0_g2",NA,0.170249143159661,NA
"194","isogroupOFAVBQ_DN141333_c0_g2",NA,0.230035112993401,NA
"195","isogroupOFAVBQ_DN14145_c0_g1",NA,0.335470646162532,0.734597081469245
"196","isogroupOFAVBQ_DN141904_c0_g1",NA,0.881033812548362,0.000599482817822987
"197","isogroupOFAVBQ_DN14202_c0_g1","Tubulin alpha-2 chain OS=Pelvetia fastigiata OX=48072 GN=TUBA2 PE=2 SV=1 E(blastx)=8e-24",0.716027804537103,0.4434197579555
"198","isogroupOFAVBQ_DN142099_c2_g1",NA,0.451265429315927,0.59181289941297
"199","isogroupOFAVBQ_DN142130_c0_g1","40S ribosomal protein S3a OS=Aplysia californica OX=6500 GN=RPS3A PE=3 SV=2 E(blastx)=1e-105",-2.79848160751035,0.294525688460943
"200","isogroupOFAVBQ_DN142675_c0_g2",NA,0.0253579701581313,NA
"201","isogroupOFAVBQ_DN142840_c0_g3",NA,-0.808233827867745,0.656573992627152
"202","isogroupOFAVBQ_DN143204_c0_g1","Ribosome biogenesis protein BOP1 homolog OS=Leishmania infantum OX=5671 GN=LinJ11.0410 PE=3 SV=1 E(blastx)=6e-05",-0.182297636081798,NA
"203","isogroupOFAVBQ_DN143454_c0_g4",NA,-0.270218393716574,NA
"204","isogroupOFAVBQ_DN143475_c0_g4","Cytochrome c oxidase subunit 1 OS=Aedes aegypti OX=7159 GN=mt:CoI PE=2 SV=2 E(blastx)=6e-125",-0.125421143990513,NA
"205","isogroupOFAVBQ_DN143485_c0_g2",NA,1.31811592526542,NA
"206","isogroupOFAVBQ_DN143732_c0_g2",NA,0.138768098387328,NA
"207","isogroupOFAVBQ_DN143756_c0_g1","Myosin regulatory light polypeptide 9 OS=Pongo abelii OX=9601 GN=MYL9 PE=2 SV=3 E(blastx)=2e-37",0.523535672018249,0.671745954803653
"208","isogroupOFAVBQ_DN144592_c0_g1","Transmembrane protease serine 6 OS=Mus musculus OX=10090 GN=Tmprss6 PE=1 SV=4 E(blastx)=2e-58",0.0218199653757461,0.986392977003035
"209","isogroupOFAVBQ_DN144600_c0_g1","Endoplasmin OS=Sus scrofa OX=9823 GN=HSP90B1 PE=2 SV=3 E(blastx)=6e-57",-0.942887058168075,0.778298643752709
"210","isogroupOFAVBQ_DN144624_c0_g1",NA,0.0106208649675367,NA
"211","isogroupOFAVBQ_DN145019_c0_g1","NADH-cytochrome b5 reductase 3 OS=Homo sapiens OX=9606 GN=CYB5R3 PE=1 SV=3 E(blastx)=1e-22",0.0450755533999768,0.91480347446364
"212","isogroupOFAVBQ_DN145146_c0_g3",NA,-0.62994226820911,NA
"213","isogroupOFAVBQ_DN145303_c0_g1","Histone H2A.V (Fragment) OS=Strongylocentrotus purpuratus OX=7668 GN=H2A.F/Z PE=1 SV=1 E(blastx)=1e-43",0.397239769859046,NA
"214","isogroupOFAVBQ_DN145735_c0_g1",NA,0.112493169605207,NA
"215","isogroupOFAVBQ_DN145824_c0_g1",NA,-1.9782958327847,0.000382582152296133
"216","isogroupOFAVBQ_DN146049_c0_g1",NA,-0.452541690167016,NA
"217","isogroupOFAVBQ_DN146246_c0_g1",NA,-0.0225009513982507,0.988773538542137
"218","isogroupOFAVBQ_DN146334_c0_g3","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens OX=9606 GN=EDIL3 PE=1 SV=1 E(blastx)=4e-43",1.46996496258058,NA
"219","isogroupOFAVBQ_DN146560_c0_g2",NA,0.142160890173606,0.804083462219924
"220","isogroupOFAVBQ_DN14657_c0_g1",NA,0.75133656929119,NA
"221","isogroupOFAVBQ_DN146757_c0_g1",NA,0.164137967257947,NA
"222","isogroupOFAVBQ_DN146757_c0_g2",NA,0.433241182626982,NA
"223","isogroupOFAVBQ_DN146870_c0_g1",NA,0.0204602467699076,NA
"224","isogroupOFAVBQ_DN147093_c0_g1",NA,-0.892650381664652,NA
"225","isogroupOFAVBQ_DN147240_c0_g2",NA,0.283251800537219,0.710138973834107
"226","isogroupOFAVBQ_DN147350_c1_g1",NA,-0.227530363973217,0.701789968340012
"227","isogroupOFAVBQ_DN147597_c0_g1",NA,-0.866714468815098,0.288545816050981
"228","isogroupOFAVBQ_DN147685_c0_g1","Galanin receptor type 2 OS=Homo sapiens OX=9606 GN=GALR2 PE=1 SV=1 E(blastx)=4e-10",0.375165171324776,NA
